Position,Precinct,BallotsCast,RegisteredVoters,TotalVotes,Candidate1Name,Candidate1Votes,Candidate1Percentage,Candidate2Name,Candidate2Votes,Candidate2Percentage,WriteInVotes,OverVotes,UnderVotes
"Position 6",373,78,405,75,"Katie Rhyne",48,64.00,"Rebecca Descombes",27,36.00,0,0,3
"Position 6",374,3,8,3,"Katie Rhyne",2,66.67,"Rebecca Descombes",1,33.33,0,0,0
"Position 6",382,465,3736,438,"Katie Rhyne",276,63.01,"Rebecca Descombes",157,35.84,5,0,27
"Position 6",422,4,15,3,"Katie Rhyne",0,0.00,"Rebecca Descombes",3,100.00,0,0,1
"Position 6",426,101,527,83,"Katie Rhyne",55,66.27,"Rebecca Descombes",28,33.73,0,0,18
"Position 6",430,561,2361,499,"Katie Rhyne",344,68.94,"Rebecca Descombes",148,29.66,7,0,62
"Position 6",431,56,259,49,"Katie Rhyne",37,75.51,"Rebecca Descombes",12,24.49,0,0,7
"Position 6",439,36,80,33,"Katie Rhyne",24,72.73,"Rebecca Descombes",9,27.27,0,0,3
"Position 6",440,305,2093,295,"Katie Rhyne",199,67.46,"Rebecca Descombes",90,30.51,6,0,10
"Position 6",446,6,37,6,"Katie Rhyne",6,100.00,"Rebecca Descombes",0,0.00,0,0,0
"Position 6",450,31,76,18,"Katie Rhyne",16,88.89,"Rebecca Descombes",2,11.11,0,0,13
"Position 6",451,229,1431,217,"Katie Rhyne",125,57.60,"Rebecca Descombes",88,40.55,4,0,12
